#hg38.knownGene.name	hg38.knownGene.chrom	hg38.knownGene.strand	hg38.knownGene.txStart	hg38.knownGene.txEnd	hg38.knownGene.cdsStart	hg38.knownGene.cdsEnd	hg38.knownGene.exonCount	hg38.knownGene.exonStarts	hg38.knownGene.exonEnds	hg38.knownGene.proteinID	hg38.knownGene.alignID	hg38.kgXref.geneSymbol
ENST00000463728.1	chr6	-	149826110	149836199	149826110	149826110	2	149826110,149836084,	149826359,149836199,		uc063sfm.1	LRP11
ENST00000367368.3	chr6	-	149840437	149864026	149842611	149864020	4	149840437,149842982,149853002,149863407,	149842676,149843124,149853160,149864026,	Q5VYB9	uc063sfn.2	LRP11
ENST00000472053.2	chr6	+	149852461	149853192	149852461	149852461	2	149852461,149852983,	149852564,149853192,		uc063sfo.1	ENSG00000273132
ENST00000606915.1	chr6	+	149863493	149919507	149863493	149863493	2	149863493,149919186,	149864382,149919507,		uc003qni.3	RAET1E-AS1
ENST00000406551.2	chr6	+	149879961	149881572	149879961	149879961	1	149879961,	149881572,		uc286ytp.1	CCT7P1
ENST00000357183.9	chr6	-	149883178	149898113	149888497	149890901	6	149883178,149889347,149889884,149890816,149895845,149898020,	149888667,149889623,149890145,149891034,149896032,149898113,	Q8TD07	uc003qnl.2	RAET1E
ENST00000532335.5	chr6	-	149883374	149896059	149884487	149890901	5	149883374,149889347,149889884,149890816,149895845,	149884504,149889623,149890145,149891034,149896059,	Q8TD07	uc003qnj.3	RAET1E
ENST00000605899.1	chr6	+	149884430	149919506	149884430	149884430	3	149884430,149885584,149919186,	149884455,149885673,149919506,		uc063sfp.1	RAET1E-AS1
ENST00000392270.3	chr6	-	149888471	149890932	149889509	149890901	4	149888471,149889347,149889990,149890816,	149888667,149889623,149890145,149890932,	Q3T1D4	uc063sfq.1	RAET1E
ENST00000367363.3	chr6	-	149888497	149891034	149888497	149890901	4	149888497,149889347,149889884,149890820,	149888667,149889623,149890041,149891034,	Q8TD07	uc003qnk.3	RAET1E
ENST00000529948.1	chr6	-	149889094	149890901	149889339	149890901	3	149889094,149889884,149890816,	149889623,149890145,149890901,	Q8TD07	uc021zgq.2	RAET1E
ENST00000446954.2	chr6	+	149890102	149919508	149890102	149890102	3	149890102,149896132,149919186,	149890164,149896239,149919508,		uc021zgr.1	RAET1E-AS1
ENST00000524905.1	chr6	-	149895478	149898077	149895478	149895478	2	149895478,149898020,	149896032,149898077,		uc063sfs.1	RAET1E
ENST00000407115.2	chr6	+	149904242	149906418	149904242	149904242	1	149904242,	149906418,		uc286ytq.1	ENSG00000216906
ENST00000367360.7	chr6	-	149916877	149923121	149916911	149923010	5	149916877,149918173,149919042,149919552,149922925,	149917074,149918384,149919324,149919816,149923121,	Q6H3X3	uc010kii.2	RAET1G
ENST00000367361.6	chr6	-	149916912	149923010	149918273	149923010	5	149916912,149918173,149919042,149919552,149922925,	149917074,149918284,149919324,149919816,149923010,	Q6H3X3	uc063sft.1	RAET1G
ENST00000479265.1	chr6	-	149918706	149923121	149919007	149923010	3	149918706,149919552,149922925,	149919324,149919816,149923121,	C9JAK3	uc063sfu.1	RAET1G
ENST00000435483.5	chr6	+	149934526	149935620	149934526	149934526	2	149934526,149935373,	149934779,149935620,		uc286ytr.1	ENSG00000216621
ENST00000421363.2	chr6	+	149934526	149936318	149934526	149934526	2	149934526,149935467,	149934779,149936318,		uc286yts.1	ENSG00000216621
ENST00000407271.2	chr6	+	149935964	149936782	149935964	149935964	2	149935964,149936706,	149936328,149936782,		uc286ytt.1	ENSG00000216621
ENST00000367351.4	chr6	+	149942013	149949235	149942072	149947429	5	149942013,149945308,149946371,149947319,149948722,	149942157,149945572,149946653,149947451,149949235,	Q9BZM5	uc003qno.5	ULBP2
ENST00000399570.3	chr6	+	149951832	149952239	149951832	149951832	1	149951832,	149952239,		uc286ytu.1	ENSG00000215094
ENST00000229708.4	chr6	+	149963942	149973715	149964049	149970125	5	149963942,149968606,149969084,149970015,149971368,	149964134,149968870,149969360,149970147,149973715,	Q9BZM6	uc003qnp.6	ULBP1
ENST00000406262.1	chr6	+	149977470	149979105	149977470	149977470	2	149977470,149978818,	149977734,149979105,		uc286ytv.1	ENSG00000219298
ENST00000433415.1	chr6	+	149977921	149978416	149977921	149977921	1	149977921,	149978416,		uc286ytw.1	BTF3P10
ENST00000533735.2	chr6	-	149998018	150005166	149998018	149998018	4	149998018,150000065,150000852,150005072,	149998884,150000194,150001668,150005166,		uc286ytx.2	RAET1K
ENST00000403651.2	chr6	-	150000089	150005157	150000089	150000089	4	150000089,150000852,150001350,150005072,	150000194,150001128,150001668,150005157,		uc286yty.1	RAET1K
ENST00000367341.6	chr6	-	150018333	150025532	150020129	150025471	5	150018333,150020107,150020904,150021979,150025386,	150018855,150020239,150021186,150022243,150025532,	Q5VY80	uc063sfv.2	RAET1L
ENST00000286380.2	chr6	-	150020129	150025532	150020129	150025471	4	150020129,150020904,150021979,150025386,	150020239,150021186,150022243,150025532,	Q5VY80	uc011eei.2	RAET1L
ENST00000405282.1	chr6	+	150032768	150033566	150032768	150032768	2	150032768,150033238,	150033036,150033566,		uc286ytz.1	RAET1M
ENST00000456346.1	chr6	-	150040546	150042033	150040546	150040546	2	150040546,150041780,	150041173,150042033,		uc063sfw.1	ENSG00000235972
ENST00000392260.2	chr6	+	150042545	150043353	150042545	150042545	1	150042545,	150043353,		uc286yua.1	PHB1P1
ENST00000367339.7	chr6	-	150061052	150069121	150064606	150069066	5	150061052,150064584,150065397,150065898,150068978,	150063351,150064713,150065673,150066162,150069121,	Q9BZM4	uc063sfx.2	ULBP3
ENST00000438272.2	chr6	-	150064606	150069066	150064606	150069066	4	150064606,150065397,150065898,150068978,	150064713,150065673,150066162,150069066,	Q9BZM4	uc003qns.4	ULBP3
ENST00000361131.5	chr6	+	150143043	150250392	150143192	150248820	4	150143043,150214743,150216823,150248745,	150143498,150214827,150216856,150250392,	Q8TAE6	uc003qnt.5	PPP1R14C
ENST00000459301.1	chr6	+	150164583	150164686	150164583	150164583	1	150164583,	150164686,		uc063sfy.1	ENSG00000238594
ENST00000364758.1	chr6	-	150326622	150326763	150326622	150326622	1	150326622,	150326763,		uc063sfz.1	RNU4-7P
ENST00000229447.9	chr6	+	150368891	150404628	150369031	150398137	6	150368891,150389351,150392344,150394098,150395454,150398054,	150369209,150389543,150392504,150394255,150395566,150404628,	Q6PHW0	uc003qnx.3	IYD
ENST00000367335.7	chr6	+	150368952	150398109	150369031	150395450	6	150368952,150389351,150392344,150394098,150395393,150398054,	150369209,150389543,150392504,150394255,150395566,150398109,	Q6PHW0	uc063sga.1	IYD
ENST00000392256.6	chr6	+	150368952	150398109	150369031	150395450	6	150368952,150389351,150392344,150394098,150395393,150398054,	150369209,150389543,150392504,150394255,150395454,150398109,	Q6PHW0	uc003qnv.3	IYD
ENST00000392255.7	chr6	+	150368996	150396816	150369031	150396484	6	150368996,150389351,150392344,150394098,150395454,150396470,	150369209,150389543,150392504,150394255,150395566,150396816,	C9JXJ9	uc063sgb.1	IYD
ENST00000500320.7	chr6	+	150368996	150396890	150369031	150395622	5	150368996,150389351,150392344,150394098,150395454,	150369209,150389543,150392504,150394255,150396890,	F6VN83	uc063sgc.1	IYD
ENST00000344419.8	chr6	+	150369011	150405969	150369031	150398237	5	150369011,150389351,150392344,150394098,150398054,	150369209,150389543,150392504,150394255,150405969,	Q6PHW0	uc003qnu.4	IYD
ENST00000546121.1	chr6	+	150369088	150389630	150369088	150369088	2	150369088,150389351,	150369209,150389630,		uc063sgd.1	IYD
ENST00000422583.2	chr6	+	150369154	150398109	150369154	150392435	5	150369154,150389351,150392344,150394098,150398054,	150369209,150389475,150392504,150394255,150398109,	H7C0X6	uc063sge.1	IYD
ENST00000425615.3	chr6	+	150369976	150395532	150369999	150395450	5	150369976,150389351,150392344,150394098,150395393,	150370012,150389543,150392504,150394255,150395532,	F5H543	uc063sgf.1	IYD
ENST00000407630.1	chr6	-	150384306	150385120	150384306	150384306	1	150384306,	150385120,		uc286yub.1	SSR1P1
ENST00000407887.1	chr6	-	150504810	150510300	150504810	150504810	3	150504810,150508626,150509605,	150504919,150508684,150510300,		uc286yuc.1	ENSG00000219622
ENST00000367326.1	chr6	+	150599882	150733821	150733681	150733821	4	150599882,150638079,150650727,150733583,	150600017,150638125,150650786,150733821,	Q5T1F3	uc063sgg.1	PLEKHG1
ENST00000696526.1	chr6	+	150599884	150843665	150733681	150840896	17	150599884,150650727,150733583,150768637,150786389,150795855,150800718,150804609,150809104,150809380,150809647,150818182,150819678,150821194,150823653,150830581,150839832,	150600017,150650786,150734092,150768738,150786459,150795902,150800869,150804741,150809287,150809476,150809734,150818216,150819774,150821233,150823676,150832205,150843665,	Q5JYA6	uc315yuv.1	PLEKHG1
ENST00000643446.1	chr6	+	150599902	150664488	150599902	150599902	3	150599902,150650727,150662434,	150600017,150650786,150664488,		uc285yyt.1	PLEKHG1
ENST00000643692.1	chr6	+	150599902	150664488	150599902	150599902	3	150599902,150650727,150662434,	150600017,150650786,150664488,		uc285yyu.1	PLEKHG1
ENST00000430770.1	chr6	+	150600833	150605850	150600833	150600833	2	150600833,150605522,	150600883,150605850,		uc063sgh.1	ENSG00000232891
ENST00000456018.1	chr6	+	150624676	150626086	150624676	150624676	2	150624676,150625730,	150624959,150626086,		uc063sgi.1	ENSG00000224029
ENST00000644996.1	chr6	+	150632942	150733673	150632942	150632942	4	150632942,150638079,150650727,150733583,	150633304,150638125,150650786,150733673,		uc285yyv.1	PLEKHG1
ENST00000455229.1	chr6	-	150650771	150652025	150650771	150650771	2	150650771,150651820,	150651180,150652025,		uc063sgj.1	ENSG00000226599
ENST00000644968.1	chr6	+	150683611	150843350	150733681	150840896	16	150683611,150733583,150768637,150786389,150795855,150800718,150804609,150809104,150809380,150809647,150818182,150819678,150821194,150823653,150830581,150839832,	150683882,150734092,150768738,150786459,150795902,150800869,150804741,150809287,150809476,150809734,150818216,150819774,150821233,150823676,150832205,150843350,	Q9ULL1	uc285yyw.1	PLEKHG1
ENST00000644913.1	chr6	+	150686761	150734092	150686872	150734092	2	150686761,150733583,	150686990,150734092,	A0A2R8Y2B1	uc285yyx.1	PLEKHG1
ENST00000358517.6	chr6	+	150721087	150843665	150733681	150840896	16	150721087,150733583,150768637,150786389,150795855,150800718,150804609,150809104,150809380,150809647,150818182,150819678,150821194,150823653,150830581,150839832,	150721200,150734092,150768738,150786459,150795902,150800869,150804741,150809287,150809476,150809734,150818216,150819774,150821233,150823676,150832205,150843665,	Q9ULL1	uc063sgk.1	PLEKHG1
ENST00000475490.1	chr6	+	150768685	150842056	150768685	150841056	15	150768685,150786389,150795855,150800718,150804609,150809104,150809380,150809647,150818182,150819678,150821194,150823653,150830581,150841034,150841838,	150768738,150786459,150795902,150800869,150804741,150809287,150809476,150809734,150818216,150819774,150821233,150823676,150830727,150841135,150842056,	H0YD71	uc063sgl.1	PLEKHG1
ENST00000398028.3	chr6	+	150827662	150828384	150827662	150827662	1	150827662,	150828384,		uc286yud.1	PDCL3P5
ENST00000611279.4	chr6	+	150865678	151101885	150865822	151092556	28	150865678,150876089,150877633,150877772,150882761,150885633,150887841,150905649,150918576,150922204,150926121,150936803,150938698,150944485,150945466,150949030,150955994,150960274,150964968,150971946,151009818,151013778,151014879,151015515,151034492,151036964,151092466,151101525,	150866049,150876174,150877684,150877826,150882886,150885734,150887981,150905761,150918668,150922302,150926295,150936940,150938745,150944593,150945541,150949133,150956071,150960415,150965037,150972058,151009958,151013820,151014980,151015693,151034600,151037117,151092587,151101885,	B7ZM99	uc021zgs.2	MTHFD1L
ENST00000367321.8	chr6	+	150865701	151101887	150865822	151092556	28	150865701,150876089,150877633,150877772,150882761,150885633,150887844,150905649,150918576,150922204,150926121,150936803,150938698,150944485,150945466,150949030,150955994,150960274,150964968,150971946,151009818,151013778,151014879,151015515,151034492,151036964,151092466,151101525,	150866049,150876174,150877684,150877826,150882886,150885734,150887981,150905761,150918668,150922302,150926295,150936940,150938745,150944593,150945541,150949133,150956071,150960415,150965037,150972058,151009958,151013820,151014980,151015693,151034600,151037117,151092587,151101887,	Q6UB35	uc003qob.5	MTHFD1L
ENST00000367307.8	chr6	+	150865715	150899021	150865822	150898907	8	150865715,150876089,150877633,150877772,150882761,150885633,150887844,150898859,	150866049,150876174,150877684,150877826,150882886,150885734,150887981,150899021,	Q6UB35	uc003qoa.4	MTHFD1L
ENST00000367308.8	chr6	+	150865943	150926153	150865943	150926153	11	150865943,150876089,150877633,150877772,150882761,150885633,150887841,150905649,150918576,150922204,150926121,	150866049,150876174,150877684,150877826,150882886,150885734,150887981,150905761,150918668,150922302,150926153,	H0Y327	uc063sgm.1	MTHFD1L
ENST00000618312.4	chr6	+	150866332	151101885	150866358	151092556	28	150866332,150876089,150877633,150877772,150882761,150885633,150887841,150905649,150918576,150922204,150926121,150936803,150938698,150944485,150945466,150949030,150955994,150960274,150964968,150971946,151009818,151013778,151014879,151015515,151034492,151036964,151092466,151101525,	150866387,150876174,150877684,150877826,150882886,150885734,150887981,150905761,150918668,150922302,150926295,150936940,150938745,150944593,150945541,150949133,150956071,150960415,150965037,150972058,151009958,151013820,151014980,151015693,151034600,151037117,151092587,151101885,	A0A087WVM4	uc021zgt.2	MTHFD1L
ENST00000441122.5	chr6	+	150866505	150936915	150877651	150905663	11	150866505,150876089,150877633,150877772,150882761,150885633,150905649,150918576,150922204,150926121,150936803,	150866635,150876174,150877684,150877826,150882886,150885734,150905761,150918668,150922302,150926295,150936915,	Q5JYA8	uc063sgn.1	MTHFD1L
ENST00000423867.2	chr6	+	150866556	150887873	150877651	150887873	7	150866556,150876089,150877633,150877772,150882761,150885633,150887844,	150866635,150876174,150877684,150877826,150882886,150885734,150887873,	Q5JYA3	uc063sgo.1	MTHFD1L
ENST00000421497.1	chr6	+	150905669	150912948	150905669	150905669	2	150905669,150912667,	150905761,150912948,		uc063sgp.1	MTHFD1L
ENST00000404372.1	chr6	+	150934967	150935566	150934967	150934967	1	150934967,	150935566,		uc286yue.1	ARL4AP5
ENST00000365249.1	chr6	+	150939221	150939328	150939221	150939221	1	150939221,	150939328,		uc021zgu.1	RNU6-302P
ENST00000478643.1	chr6	+	150971947	151009958	150971947	150971947	3	150971947,150985038,151009818,	150972058,150985208,151009958,		uc063sgq.1	MTHFD1L
ENST00000420192.1	chr6	+	151014879	151022355	151014879	151022040	3	151014879,151015515,151022028,	151014980,151015693,151022355,	Q4VXV2	uc063sgr.1	MTHFD1L
ENST00000453602.1	chr6	+	151034531	151042064	151034531	151041840	3	151034531,151036964,151041783,	151034600,151037117,151042064,	Q4VXM0	uc063sgs.1	MTHFD1L
ENST00000450635.1	chr6	+	151036973	151042058	151036973	151041805	2	151036973,151041775,	151037117,151042058,	Q4VXM1	uc063sgt.1	MTHFD1L
ENST00000445833.1	chr6	-	151054896	151056057	151054896	151054896	2	151054896,151055770,	151055005,151056057,		uc063sgv.1	ENSG00000232290
ENST00000415477.1	chr6	-	151088102	151228447	151088102	151088102	5	151088102,151137604,151138748,151150888,151228381,	151088380,151137745,151138866,151151138,151228447,		uc063sgw.1	ENSG00000223598
ENST00000405720.1	chr6	+	151099528	151099933	151099528	151099528	1	151099528,	151099933,		uc286yuf.1	RPL32P16
ENST00000431947.1	chr6	-	151196680	151197638	151196680	151196680	2	151196680,151197518,	151197364,151197638,		uc063sgx.1	ENSG00000231883
ENST00000459080.1	chr6	+	151201340	151201444	151201340	151201340	1	151201340,	151201444,		uc063sgy.1	RNU6-300P
ENST00000440335.1	chr6	-	151225549	151225947	151225549	151225549	1	151225549,	151225947,		uc286yug.1	ENSG00000213087
ENST00000402676.7	chr6	+	151239966	151358559	151240562	151353740	5	151239966,151240383,151305746,151348710,151355726,	151240059,151240724,151305903,151353752,151358559,	Q02952	uc011eep.5	AKAP12
ENST00000253332.5	chr6	+	151240373	151356773	151240562	151353740	4	151240373,151305746,151348710,151355726,	151240724,151305903,151353752,151356773,	Q02952	uc003qoe.5	AKAP12
ENST00000516622.1	chr6	-	151280514	151280612	151280514	151280514	1	151280514,	151280612,		uc021zgv.1	RNU6-1247P
ENST00000516678.1	chr6	-	151298840	151298933	151298840	151298840	1	151298840,	151298933,		uc032xoy.2	RNY4P20
ENST00000411107.1	chr6	+	151319634	151319950	151319634	151319634	1	151319634,	151319950,		uc063sgz.1	RN7SKP268
ENST00000354675.10	chr6	+	151325687	151356773	151325860	151353740	3	151325687,151348710,151355726,	151325885,151353752,151356773,	Q02952	uc003qof.5	AKAP12
ENST00000359755.5	chr6	+	151341685	151356773	151341782	151353740	3	151341685,151348710,151355726,	151341786,151353752,151356773,	Q02952	uc003qog.5	AKAP12
ENST00000490177.1	chr6	+	151341701	151349186	151341701	151341701	2	151341701,151348710,	151341786,151349186,		uc063sha.1	AKAP12
ENST00000325144.5	chr6	-	151364114	151391559	151365520	151373637	3	151364114,151373464,151391419,	151366892,151373649,151391559,	Q8N680	uc003qoh.5	ZBTB2
ENST00000516806.1	chr6	-	151377999	151378099	151377999	151377999	1	151377999,	151378099,		uc063shb.1	Y_RNA
ENST00000682641.1	chr6	-	151398897	151452146	151399529	151445811	12	151398897,151405719,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151399778,151405836,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,	A0A804HHW6	uc289ecd.1	RMND1
ENST00000444024.3	chr6	-	151404761	151452126	151405234	151445811	12	151404761,151405719,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452126,	Q9NWS8	uc003qoi.6	RMND1
ENST00000683724.1	chr6	-	151404784	151448955	151405234	151445811	12	151404784,151405719,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151448620,	151405267,151405836,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151448955,	Q9NWS8	uc289fru.1	RMND1
ENST00000684605.1	chr6	-	151404794	151434383	151404794	151404794	9	151404794,151405719,151417278,151421244,151422540,151423524,151427481,151430137,151433154,	151405267,151405836,151417399,151421321,151422605,151423631,151427582,151430177,151434383,		uc289gzr.1	RMND1
ENST00000682004.1	chr6	-	151404794	151452146	151404794	151404794	11	151404794,151405719,151417278,151421244,151423524,151427481,151430137,151433154,151436419,151445307,151452015,	151405267,151405836,151417399,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,		uc289ddq.1	RMND1
ENST00000683439.1	chr6	-	151404794	151452146	151404794	151404794	10	151404794,151405719,151417278,151421244,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151417399,151423631,151427582,151430177,151433230,151436554,151445825,151452146,		uc289fgv.1	RMND1
ENST00000336451.8	chr6	-	151404853	151444625	151436431	151436548	11	151404853,151405719,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436419,151444465,	151405267,151405836,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151444625,	A0A2U3TZJ1	uc011eeq.4	RMND1
ENST00000622845.5	chr6	-	151404883	151452158	151405234	151436548	11	151404883,151405719,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151452015,	151405267,151405836,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151452158,	A0A087WXU0	uc031spy.3	RMND1
ENST00000682299.1	chr6	-	151404900	151452146	151405234	151445811	10	151404900,151405719,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,	A0A804HHY2	uc289doz.1	RMND1
ENST00000646926.2	chr6	-	151404900	151452155	151421283	151445811	11	151404900,151405719,151417278,151421244,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151417399,151421321,151423631,151427582,151430177,151433230,151436554,151445825,151452155,	A0A2R8Y4P5	uc285yyz.2	RMND1
ENST00000684765.1	chr6	-	151404905	151452146	151418539	151445811	13	151404905,151405719,151417278,151418532,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151417399,151418579,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,	A0A804HKF8	uc289hfv.1	RMND1
ENST00000682392.1	chr6	-	151404906	151452146	151417081	151445811	13	151404906,151405719,151417080,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151417138,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,	A0A804HLE1	uc289dso.1	RMND1
ENST00000644711.1	chr6	-	151405052	151452125	151408765	151445811	13	151405052,151405719,151408642,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405267,151405836,151408900,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452125,	A0A2R8Y4J4	uc285yza.1	RMND1
ENST00000684301.1	chr6	-	151405112	151452146	151436431	151445811	13	151405112,151405719,151410838,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436419,151445307,151452015,	151405267,151405836,151410911,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,	Q9NWS8	uc289gnz.1	RMND1
ENST00000644054.2	chr6	-	151405720	151452146	151430148	151445811	11	151405720,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151405836,151417399,151421321,151422605,151423631,151427582,151430203,151433230,151436554,151445825,151452146,	A0A2R8YFC3	uc285yzb.2	RMND1
ENST00000684658.1	chr6	-	151407969	151452146	151407969	151407969	11	151407969,151417278,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151408900,151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,		uc289hbs.1	RMND1
ENST00000401676.2	chr6	-	151411258	151413945	151411258	151411258	2	151411258,151413811,	151411910,151413945,		uc286yuh.1	HSPA8P15
ENST00000684715.1	chr6	-	151416457	151452146	151416457	151416457	10	151416457,151421244,151422540,151423524,151427481,151430137,151433154,151436445,151445307,151452015,	151417399,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452146,		uc289hdx.1	RMND1
ENST00000645895.1	chr6	-	151416590	151452092	151416590	151416590	11	151416590,151418532,151421244,151422540,151423524,151427481,151430137,151433154,151436419,151445307,151452015,	151417399,151418579,151421321,151422605,151423631,151427582,151430177,151433230,151436554,151445825,151452092,		uc285yzc.1	RMND1
ENST00000645367.1	chr6	-	151420705	151452145	151420705	151420705	7	151420705,151423524,151430137,151433154,151436445,151445307,151452015,	151421321,151423631,151430177,151433230,151436554,151445825,151452145,		uc285yzd.1	RMND1
